country,fert_rate,gdp,health_exp_per_cap,health_exp_pub,prim_ed_girls,mat_mort_ratio,population
Afghanistan,4.9544999999999995,19961015094.10936,161.13803393333333,2.834597872880073,40.109707832336454,444.0,32715838.4
Albania,1.76925,12327585927.329762,574.20269424,2.83602053709045,47.20108222961425,29.25,2888280.2
Algeria,2.8659999999999997,190734614950.025,870.7665084933334,4.984251822612154,47.67561721801758,142.5,39099060.4
American Samoa,,640500000.0,,,,,55422.0
Andorra,,3197538228.940905,4421.22493285,7.26028089180809,47.12334537506103,,79547.4
Angola,6.123000000000001,111936542133.91928,254.7479702166667,2.447545696861253,,501.25,26937544.8
Antigua and Barbuda,2.082,1298213459.2592602,1152.49365642,3.6765135676954297,48.291463216145836,,98872.4
Arab World,3.3975868985298776,2709059274160.576,761.4017273205424,2.873839685565493,47.11977640787763,161.0,389961951.4
Argentina,2.3280000000000003,550980967906.0664,1148.2561422766667,2.782215559877803,48.91580963134766,53.75,42976674.8
Armenia,1.5455,10885362497.856739,348.66388423333336,1.9160160682579335,46.7821798324585,27.25,2904683.4
Aruba,1.6632500000000001,,,,48.72193908691407,,103744.4
Australia,1.8615000000000002,1422994116449.394,4256.058988286667,6.292381022140567,48.57670688629152,6.0,23444559.6
Austria,1.4549999999999998,407494276406.18665,4930.298892726666,8.504276239564676,48.55607795715333,4.0,8566293.6
Azerbaijan,1.98,62003001332.081215,956.7097182566667,1.1972493259338735,46.157362937927275,25.25,9531855.8
"Bahamas, The",1.8772499999999999,8688000000.0,1727.12838465,3.30862589660908,,81.5,381903.6
Bahrain,2.06525,32004010638.297882,2030.1583157133334,2.9763856446069767,49.1168384552002,15.25,1349810.2
Bangladesh,2.19325,174545099396.2128,85.96884353333333,0.8604467290934728,50.46056365966795,194.75,159371214.0
Barbados,1.79225,4413080000.0,1062.8400879033334,4.828679965783366,48.8781814575195,28.0,283338.4
Belarus,1.677,64782941910.0038,986.2367572066665,3.876601439555053,48.685741424560554,4.0,9480347.8
Belgium,1.7550000000000001,494221835566.83057,4297.838005316667,8.221002516082557,48.86467456817628,7.0,11228495.0
Belize,2.59475,1680324970.0,471.96746478666665,3.744844009097593,48.31723785400393,29.25,351763.6
Benin,4.80675,8778150629.403713,83.72618966,2.206915534987997,47.21112728118897,417.5,10293714.6
Bermuda,1.6175,5555623500.0,,,48.42358779907225,,65100.8
Bhutan,2.06125,1975145321.8996398,277.5266699633333,2.7069084526077667,49.572296142578125,161.75,775905.4
Bolivia,2.99525,31509323646.888573,381.00759408,4.1920309648417335,48.4641752243042,218.25,10562802.8
Bosnia and Herzegovina,1.267,17323327125.51938,941.5046552766667,6.841020543675686,48.6349048614502,11.75,3574395.6
Botswana,2.8449999999999998,15113394765.604721,880.9092020666667,3.5520706486634097,48.84400939941406,138.75,2169170.4
Brazil,1.7952499999999998,2198765606102.9797,1303.1991035233334,3.7734729787537034,47.78457736968995,49.5,204159544.2
British Virgin Islands,,,,,47.5815200805664,,29585.4
Brunei Darussalam,1.884,15719222550.06428,1795.9241604266665,2.3351937441729635,48.5236988067627,23.75,411581.2
Bulgaria,1.51,53797612181.92304,1266.8570031233332,4.24343723450253,48.31080245971678,10.75,7220150.8
Burkina Faso,5.564500000000001,11753054368.917898,87.14300884333333,3.02124589645002,48.21751976013182,384.25,17597394.6
Burundi,5.992249999999999,2876978307.7167983,59.69382980333334,4.4337486485913,50.48197078704835,747.25,9907014.6
Cabo Verde,2.3215,1730543540.7805839,290.05756608333337,3.338769368179154,47.80511188507082,45.0,526599.0
Cambodia,2.6630000000000003,16866507248.976238,181.14923253000003,1.38398913951946,47.9970073699951,169.75,15270070.6
Cameroon,4.7435,28142155574.8557,120.47446314666666,1.0059501538261901,46.69107691446937,614.0,22250342.6
Canada,1.6002999999999998,1708473626659.77,4616.5391338733325,7.54624712193232,48.8089256286621,7.25,35517119.0
Caribbean small states,2.0872521396053427,67134892407.20314,877.4762681409651,3.2980259989717235,48.648583730061866,100.25,7161223.2
Cayman Islands,,,,,49.86669540405275,,59158.8
Central African Republic,4.32775,1749109870.8109577,27.07032986,1.912777361775013,42.9607009887695,875.75,4529236.4
Central Europe and the Baltics,1.41572922819927,1363805068243.1619,1556.6166750668465,5.030689865928407,48.57007726033527,11.0,103475411.2
Chad,6.210999999999999,11945941624.528255,69.90456083666668,1.7251939612574068,42.9292449951172,892.25,13574023.6
Channel Islands,1.46225,,,,,,162961.2
