Force,Intro,Total calls (2014-04),Total calls (2014-05),Total calls (2014-06),Total calls (2014-07),Total calls (2014-08),Total calls (2014-09),Total calls (2014-10),Total calls (2014-11),Total calls (2014-12),Total calls (2015-01),Total calls (2015-02),Total calls (2015-03),Total calls explanation,Answer time (2014-04),Answer time (2014-05),Answer time (2014-06),Answer time (2014-07),Answer time (2014-08),Answer time (2014-09),Answer time (2014-10),Answer time (2014-11),Answer time (2014-12),Answer time (2015-01),Answer time (2015-02),Answer time (2015-03),Answer time explanation,Abandonment rate (2014-04),Abandonment rate (2014-05),Abandonment rate (2014-06),Abandonment rate (2014-07),Abandonment rate (2014-08),Abandonment rate (2014-09),Abandonment rate (2014-10),Abandonment rate (2014-11),Abandonment rate (2014-12),Abandonment rate (2015-01),Abandonment rate (2015-02),Abandonment rate (2015-03),Abandonment explanation,About the service explanation,About the data explanation
Avon and Somerset Constabulary,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",61563,66550,70865,76053,65857,72227,22862,20154,16629,60293,56679,64273,,26.7,40,67.3,75,49,95,79,84,107,36,30,57,From October 2014 Avon & Somerset Constabularty records the average time taken for calls to be answered by its switchboard. Calls are then transferred to designated call handlers who deal with non-emergency issues.,1.7,3.2,6.5,8.58,4.63,11.4,4.72,4.92,7.55,0.021,0.015,0.039,The abandonment rate is the rate of abandoned calls after the 60s target time in place currently (soon to be revisited).,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Bedfordshire Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",26161,27239,28397,31450,26990,28227,29805,27933,25391,26100,24390,27605,,13,14,18,27,21,15,14,16,15,15,15,20,Bedfordshire Police records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,3.9,4.1,5.5,8,6.6,4.1,4,4.6,4.5,0.045,0.042,0.059,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
British Transport Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",27900,27970,29484,30818,31910,29631,29812,27658,27353,25832,25245,27700,,15.3,13.2,14,15.5,9.7,9.8,17,15,14,8.4,15.9,31.4,,3.21,2.72,3.24,3.3,2.4,2.2,4.31,3.75,3.75,0.0143,0.0376,0.0898,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Cambridgeshire Constabulary,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",27003,29753,31336,26825,23935,24106,23953,22519,20493,25614,25766,28966,,6,6,8,7,6,7,6,5,5,5,7,7,Cambridgeshire Constabulary records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,0.8,0.9,1.1,0.9,0.5,0.8,0.57,0.49,0.58,0.0048,0.0077,0.0086,The abandonment rate is measured on calls abandoned after the 30 second threshold target.,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Cheshire Constabulary,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",39086,42390,24346,30388,25971,27387,27347,25421,23722,23926,24479,26402,,39,46,11,12.4,8.3,11.3,10.02,9.67,9.66,9.59,10.75,10.1,Cheshire Constabulary records the average time taken for calls to be answered by its switchboard. Calls are then transferred to designated call handlers who deal with non-emergency issues. The time taken for calls to be answered by designated call handlers is not recorded.,5.7,8.8,2.2,2.4,2.3,2.8,2.55,2.3,1.9,0.0205,0.0193,0.0204,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
City of London Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",307,275,323,387,330,414,399,448,330,354,316,508,,8,6,7,62,47,47,8,8,8,8,7,9,City of London Police records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,0.3,0,0.6,0.1,0.1,0.1,0.25,1.34,0.3,0.0028,0.0032,0.0059,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Cleveland Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",20697,21596,23043,24194,22308,22899,23293,21884,20357,20554,19065,21836,,13,15,12,10,7,10,12,10,9,9,8,7,Cleveland Police records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,2.3,1.1,2.4,2.1,1.5,2.2,2.4,1.8,1.6,0.017,0.014,0.013,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Cumbria Constabulary,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",20247,21976,24138,28128,25779,28382,27895,29367,25083,28005,27192,31844,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Calls to Cumbria Constabulary are answered immediately by an automated system. The time taken for calls to be transferred to designated call handlers is not recorded.,5.03,4.89,4.86,4.43,4.51,4.24,4.12,4.85,4.33,0.0383,0.0392,0.0386,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Derbyshire Constabulary,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",56327,58927,63084,54911,60129,63935,61579,57606,52697,50641,57147,56343,Data includes calls to 101 and other non-emergency numbers.,32.4,34.65,48.03,61.53,60.02,61.92,59.84,57.65,53.58,47.58,45.99,29.5,Derbyshire Constabulary records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,4.33,5.34,9.63,13.19,8.01,10.8,6.25,6.32,2.5,0.0259,0.0353,0.0385,Data only includes calls abandoned after 40 seconds.,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Devon & Cornwall Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",48760,54190,54928,56452,51777,49752,47742,42987,39527,41364,39247,44859,,6,9,14,15,14,18,15,16,10,7,9,10,,0.4,0.5,0.7,0.4,1,0.7,0.49,0.79,0.7,0.0021,0.0016,0.0017,"All abandoned 101 calls, not just those outside of local service standards.",,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
